no	author	pseudonym	title	subtitle	source	city	year	number_of_periodical_pagination	editions	narration	setting	region	location	protagonist_gender	protagonist_name_male	protagonist_name_female
1	автор не установлен		Колин и Лиза	сказка	Вечера		1772	Ч. 1. С. 193-200		3л	деревня	Великороссия		муж и жен	Колин	Лиза
2	Чулков, Михаил Дмитриевич		Горькая участь		Чулков М. Пересмешник, сказки славенские.	Москва	1789	Ч.5. С. 188-201		3л	деревня	Великороссия		муж	Сысой	нет
3	Львов, Павел Юрьевич		Роза и Любим	сельская повесть	отд. изд.	Санкт-Петербург	1790			3л	деревня	Великороссия		муж и жен	Любим	Розы
4	Карамзин, Николай Михайлович		Фрол Силин, благодетельный человек		Московский журнал		1791	Ч. 3. Кн. 1. С. 31-47		3л	деревня	Великороссия		муж	Фрол	нет
5	Карамзин, Николай Михайлович		Бедная Лиза		Московский журнал		1792	Ч. 6. Кн. 3. С. 238-277		3л (суб-авт)	город	Великороссия	Москва	жен	Эраст	Лиза
6	Измайлов, Владимир Васильевич		Ростовское озеро		Приятное и полезное препровождение времени		1795	Ч. V. С. 16–28; Ч. VI. С. 291–317		1л	город	Великороссия	Ростов Великий	муж	без имени	Анюта
7	автор не установлен		Парамон и Варенька		Муза		1796	Ч. I, С. 20–29.		1л	деревня	Малороссия	село на Днепре	муж и жен	Парамон	Варенька
8	Каменев, Гавриил Петрович		Софья		Муза		1796	Ч. I. С. 195–224		1л	деревня	Великороссия	Казанская губ, с. Хелобородово	жен	Иван	Софья
9	Запольский, Иван Ипатович		Извозчик		Приятное и полезное препровождение времени		1798	Ч. 19. С. 401–412		1л	деревня	Великороссия		муж	без имени	нет
10	Львов, Павел Юрьевич		Даша, деревенская девушка		Новости русской литературы		1803	Ч. 6. С. 346–369		1л	деревня	Великороссия		жен	без имени	Даша
11	Измайлов, Владимир Васильевич	О.О.О.	Прекрасная Татьяна, живущая у подошвы Воробьевых гор	повесть	Патриот		1804	Февраль. С. 104–147.		3л	деревня	Великороссия	Московская губерния	жен	Филипп	Татьяна
12	Каменев, Гавриил Петрович		Инна		Периодическое издание Вольного общества любителей словесности, наук и художеств		1804	Ч. I, С. 127–136.		1л	деревня	Великороссия	Казань	жен	Русин	Инна
13	автор не установлен		Малороссиянка	истинный анекдот	Весенний Цветок		1807	Книга III. С. 1–6		3л (суб-авт)	город	Малороссия	Киев	жен	Грыцько	Доня
14	автор не установлен	П.С.	Несчастные любовники	пастушеская повесть. Русское сочинение	отд. изд.	Санкт-Петербург	1809			3л (суб-авт)	деревня	Великороссия		жен	Николай	Дуня
15	Макаров, Михаил Николаевич	М. М-в	Варенька	анекдот	Аглая		1810	Ч. XII., Кн. 2. С. 3–31.		1л	деревня	Великороссия	Рязанская губ., Старая Рязань	жен	без имени	Варенька
16	Измайлов, Владимир Васильевич		Сироты в Малороссии, или Цветы: Иван и Марья	повесть	Вестник Европы		1814	Ч. 74. No 7, С. 163–203; No 8. С. 251–276.		3л	город	Малороссия	Полтава	муж и жен	Иван	Марья
17	Глинка, Федор Николаевич		Лука да Марья	народная повесть	отд. изд.	Санкт-Петербург	1818		М., 1845	3л (суб-авт)	деревня	Великороссия	Московская губерния	муж	Лука	Марья
18	автор не установлен		Мария	повесть, сочинение российское	отд. изд.	Москва	1820			3л	город	Малороссия	Переяслав	жен	Дмитро	Мария
19	Панаев, Владимир Иванович	В.П.	Иван Костин	народная повесть	Библиотека для чтения, составленная из произведений изящной словесности		1823	Кн. 10	М., 1829; СПб., 1856	3л	деревня	Великороссия	Н-ская губерния	муж	Иван	Дуня
20	Погодин, Михаил Петрович		Нищий		Урания	Москва	1826	С. 15-39	Повести и рассказы Погодина. М., 1832	1л	город	Великороссия	Мценск	муж	Егор	Алексаша
21	автор не установлен	S.N.	Русалки до добра не доведут	малороссийская быль	Дамский журнал		1828	No 16. С. 133–142; No 17. С. 173–181; No 18. С. 205– 213		1л	деревня	Малороссия		жен	Леон	Мария
22	Булгарин, Фаддей Венедиктович		Отставной солдат		Северная пчела		1828	№ 95	Сочинения Булгарина. СПб., 1844. Т 7.	1л	дорога	Великороссия		муж	без имени	без имени
23	Кулжинский, Иван Григорьевич		Терешко	малороссийская повесть	Дамский журнал		1829	No 34. С. 113–119; No 35. С. 129–136.		3л	деревня	Малороссия		муж	Терешко	Маруся
24	Полевой, Николай Алексеевич		Мешок с золотом	народная быль	Московский телеграф		1829	Ч. 27. No 10. С. 182–219	Полевой. Мечты и жизнь. М., 1834	3л (суб-авт)	деревня	Великороссия	Московская губерния	муж	Ваня	Груня
25	Гоголь, Николай Васильевич		Бисаврюк, или Вечер накануне Ивана Купала	малороссийская повесть (из народного предания), рассказанная дьячком Покровской церкви	Отечественные записки		1830	Ч. 41. No 2–3. С. 239–264, 421–442		1л	деревня	Малороссия		муж	Петро	Пидорка
26	Гоголь, Николай Васильевич		Сорочинская ярмарка		Вечера на хуторе близ Диканьки	Санкт-Петербург	1831	Ч.1.		3л	деревня	Малороссия	Сорочинцы	муж	Солопий	Параска
27	Погодин, Михаил Петрович		Корыстолюбец		Повести Погодина	Москва	1832	Ч. 2. С. 183–189		3л	город	Малороссия	Ромны	муж	Филипп	нет
28	Погодин, Михаил Петрович		Неистовство		Повести Погодина	Москва	1832	Ч. 2. С. 190–194		3л	деревня	Малороссия		муж	без имени	нет
29	Погодин, Михаил Петрович		Искушение		Повести Погодина	Москва	1832	Ч. 2. С. 197–202.		3л	дорога	Великороссия		муж	Дмитрич	нет
30	Павлов, Николай Филиппович		Именины		Три повести	Москва	1834	С. 6–109		1л	имение	Великороссия	некая губерния	муж	без имени	Александра Дмитриевна
31	Полевой, Николай Алексеевич		Рассказы русского солдата		Полевой. Мечты и жизнь	Москва	1834	Ч. 1, С. 159–251.		1л	деревня	Великороссия	Курская губерния	муж	Сидор	Дуня
32	Протопопов, Александр Павлович	анонимно	Рассказ крестьянина		Русские повести и рассказы	Москва	1834	Ч. 3. С. 7–42		1л	город	Великороссия		жен	Александр	Прасковья
33	Гребенка, Евгений Павлович		Потапова неделя		Гребенка. Рассказы пирятинца	Санкт-Петербург	1837			3л	деревня	Малороссия		жен	Потап	Настя
34	Квитка-Основьяненко, Григорий Федорович		Маруся		Современник		1838	Т. 12. Отд. III. С. 1–148		3л	деревня	Малороссия		жен	Василь	Маруся
35	Бурнашев, Владимир Петрович	Борис Волжин	Деревенский староста Мирон Иванов	народная быль для русских простолюдинов	отд. изд.	Санкт-Петербург	1839		Бурнашев. Воскресные посиделки. СПб., 1845	3л (суб-авт)	деревня	Великороссия	Волга	муж	Мирон	Домна
36	Квитка-Основьяненко, Григорий Федорович		Вот любовь!		Современник		1839	Т. 16. Кн. 4. С. 1–115		3л	город	Малороссия	Харьков	жен	Семен Иванович	Галочка
37	Квитка-Основьяненко, Григорий Федорович	В.Н.С.	Делай добро, и тебе будет добро		Современник		1839	Т. 14. Повести. С. 1–59		3л	деревня	Великороссия	черноземная губерния	муж	Тихон	нет
38	Квитка-Основьяненко, Григорий Федорович		Перекати-поле		Маяк		1840	Ч. 7. Отд. II. С. 114–131		3л	деревня	Малороссия		муж	Денис	нет
39	Квитка-Основьяненко, Григорий Федорович		Вот тебе и клад		Литературная газета		1840	№ 1-2		3л	деревня	Малороссия		муж	Фома	нет
40	Квитка-Основьяненко, Григорий Федорович		Божии дети		Утренняя заря	Санкт-Петербург	1840	год 2. С. 1–99		3л	деревня	Малороссия		муж и жен	Костя	Мелася
41	Квитка-Основьяненко, Григорий Федорович		Козырь-девка!		Современник		1840	Т. 17. Повести. С. 1–103		3л	деревня	Малороссия		жен	Левко	Ивга
42	Башуцкий, Александр Петрович		Водовоз		Наши, списанные с натуры русскими	Москва	1841	Вып. 1. С. 1–29.		1л	город	Великороссия	Петербург	муж	Пантелеймон	Оксютка
43	Веселаго, Феодосий Федорович		Сельская быль		Маяк		1841	Ч. 19. С. 141–168.		3л	деревня	Великороссия	Застижье, Тверская губерния	муж и жен	Федор	Анюта
44	Гребенка, Евгений Павлович		Кулик		Утренняя заря на 1841 г.	Санкт-Петербург	1841	С. 241–306.		3л (суб-авт)	деревня	Малороссия		муж	Петрушка	Маша
45	Квитка-Основьяненко, Григорий Федорович		Знахарь		Наши, списанные с натуры русскими	Москва	1841	[Вып. 13]. С. 123–154.		3л	деревня	Малороссия		муж	Данило	нет
46	Кулиш, Пантелеймон Александрович		Огненный змий	повесть из народных преданий	Киевлянин		1841	Кн. 2. С. 181– 289.		3л	деревня	Малороссия	Черниговская губерния	муж	Иван	Маруся
47	Тихорский, Николай		Заклад. Быль		Маяк		1841	Ч. 19. С. 169–186.		3л	деревня	Малороссия	Вильшаны	муж и жен	Василь	Галя
